words,c1,c2,c3,c4,c5,score
slate,s,l,a,t,e,1437
sauce,s,a,u,c,e,1411
slice,s,l,i,c,e,1409
shale,s,h,a,l,e,1403
saute,s,a,u,t,e,1398
share,s,h,a,r,e,1393
sooty,s,o,o,t,y,1392
shine,s,h,i,n,e,1382
suite,s,u,i,t,e,1381
crane,c,r,a,n,e,1378
saint,s,a,i,n,t,1371
soapy,s,o,a,p,y,1366
shone,s,h,o,n,e,1360
shire,s,h,i,r,e,1352
saucy,s,a,u,c,y,1351
slave,s,l,a,v,e,1344
cease,c,e,a,s,e,1342
sense,s,e,n,s,e,1342
saner,s,a,n,e,r,1339
snare,s,n,a,r,e,1336
stale,s,t,a,l,e,1336
crate,c,r,a,t,e,1335
spree,s,p,r,e,e,1332
shore,s,h,o,r,e,1330
suave,s,u,a,v,e,1329
slide,s,l,i,d,e,1326
stare,s,t,a,r,e,1326
slime,s,l,i,m,e,1325
sorry,s,o,r,r,y,1324
brace,b,r,a,c,e,1323
shiny,s,h,i,n,y,1322
gooey,g,o,o,e,y,1320
seize,s,e,i,z,e,1318
crone,c,r,o,n,e,1315
sleet,s,l,e,e,t,1315
state,s,t,a,t,e,1313
brine,b,r,i,n,e,1312
scree,s,c,r,e,e,1311
shade,s,h,a,d,e,1310
space,s,p,a,c,e,1310
spare,s,p,a,r,e,1310
shame,s,h,a,m,e,1309
slant,s,l,a,n,t,1309
sally,s,a,l,l,y,1308
scale,s,c,a,l,e,1299
spine,s,p,i,n,e,1299
trace,t,r,a,c,e,1299
shake,s,h,a,k,e,1296
stone,s,t,o,n,e,1293
tease,t,e,a,s,e,1293
shape,s,h,a,p,e,1291
scare,s,c,a,r,e,1289
shave,s,h,a,v,e,1287
salty,s,a,l,t,y,1285
sassy,s,a,s,s,y,1285
slope,s,l,o,p,e,1285
since,s,i,n,c,e,1283
poise,p,o,i,s,e,1282
swine,s,w,i,n,e,1282
boney,b,o,n,e,y,1273
snore,s,n,o,r,e,1273
stole,s,t,o,l,e,1273
sadly,s,a,d,l,y,1271
raise,r,a,i,s,e,1270
arise,a,r,i,s,e,1269
spice,s,p,i,c,e,1269
spire,s,p,i,r,e,1269
peace,p,e,a,c,e,1267
grace,g,r,a,c,e,1265
slimy,s,l,i,m,y,1265
store,s,t,o,r,e,1263
cause,c,a,u,s,e,1262
crier,c,r,i,e,r,1261
prone,p,r,o,n,e,1259
sheet,s,h,e,e,t,1258
trice,t,r,i,c,e,1258
blare,b,l,a,r,e,1257
plane,p,l,a,n,e,1256
scone,s,c,o,n,e,1256
smile,s,m,i,l,e,1256
spite,s,p,i,t,e,1256
crony,c,r,o,n,y,1255
briny,b,r,i,n,y,1252
grate,g,r,a,t,e,1252
salve,s,a,l,v,e,1252
cagey,c,a,g,e,y,1251
price,p,r,i,c,e,1251
shady,s,h,a,d,y,1250
stage,s,t,a,g,e,1250
clone,c,l,o,n,e,1249
prose,p,r,o,s,e,1248
arose,a,r,o,s,e,1247
spore,s,p,o,r,e,1247
skate,s,k,a,t,e,1246
siege,s,i,e,g,e,1245
surer,s,u,r,e,r,1245
trite,t,r,i,t,e,1245
chase,c,h,a,s,e,1244
crave,c,r,a,v,e,1242
sandy,s,a,n,d,y,1242
erase,e,r,a,s,e,1241
serve,s,e,r,v,e,1241
surly,s,u,r,l,y,1241
scaly,s,c,a,l,y,1239
snake,s,n,a,k,e,1239
spiny,s,p,i,n,y,1239
close,c,l,o,s,e,1238
sunny,s,u,n,n,y,1237
shaky,s,h,a,k,y,1236
goose,g,o,o,s,e,1233
puree,p,u,r,e,e,1233
smite,s,m,i,t,e,1233
stony,s,t,o,n,y,1233
lease,l,e,a,s,e,1232
shalt,s,h,a,l,t,1232
sober,s,o,b,e,r,1232
swore,s,w,o,r,e,1230
scary,s,c,a,r,y,1229
stake,s,t,a,k,e,1229
drone,d,r,o,n,e,1228
solve,s,o,l,v,e,1227
spade,s,p,a,d,e,1227
brake,b,r,a,k,e,1226
place,p,l,a,c,e,1226
score,s,c,o,r,e,1226
moose,m,o,o,s,e,1225
safer,s,a,f,e,r,1225
shove,s,h,o,v,e,1224
crime,c,r,i,m,e,1223
fairy,f,a,i,r,y,1222
borne,b,o,r,n,e,1221
rainy,r,a,i,n,y,1221
flare,f,l,a,r,e,1220
stave,s,t,a,v,e,1220
seedy,s,e,e,d,y,1218
brave,b,r,a,v,e,1217
payee,p,a,y,e,e,1217
sheer,s,h,e,e,r,1217
craze,c,r,a,z,e,1216
daisy,d,a,i,s,y,1216
trade,t,r,a,d,e,1216
savoy,s,a,v,o,y,1215
sieve,s,i,e,v,e,1215
surge,s,u,r,g,e,1215
teary,t,e,a,r,y,1214
plate,p,l,a,t,e,1213
shied,s,h,i,e,d,1212
snide,s,n,i,d,e,1212
gaily,g,a,i,l,y,1211
smote,s,m,o,t,e,1211
spicy,s,p,i,c,y,1209
coast,c,o,a,s,t,1208
covey,c,o,v,e,y,1208
daily,d,a,i,l,y,1207
money,m,o,n,e,y,1207
singe,s,i,n,g,e,1207
loose,l,o,o,s,e,1206
pause,p,a,u,s,e,1206
silly,s,i,l,l,y,1206
matey,m,a,t,e,y,1204
parse,p,a,r,s,e,1204
boule,b,o,u,l,e,1203
melee,m,e,l,e,e,1203
story,s,t,o,r,y,1203
frame,f,r,a,m,e,1202
sower,s,o,w,e,r,1201
booty,b,o,o,t,y,1199
bride,b,r,i,d,e,1199
glare,g,l,a,r,e,1199
three,t,h,r,e,e,1198
canoe,c,a,n,o,e,1197
dairy,d,a,i,r,y,1197
snipe,s,n,i,p,e,1193
alone,a,l,o,n,e,1192
tepee,t,e,p,e,e,1191
sully,s,u,l,l,y,1190
scene,s,c,e,n,e,1189
phase,p,h,a,s,e,1188
canny,c,a,n,n,y,1187
sever,s,e,v,e,r,1187
corny,c,o,r,n,y,1186
slash,s,l,a,s,h,1184
boast,b,o,a,s,t,1183
sissy,s,i,s,s,y,1183
grade,g,r,a,d,e,1182
mealy,m,e,a,l,y,1182
carry,c,a,r,r,y,1181
chose,c,h,o,s,e,1181
segue,s,e,g,u,e,1181
shirt,s,h,i,r,t,1181
prune,p,r,u,n,e,1180
farce,f,a,r,c,e,1179
siren,s,i,r,e,n,1179
snaky,s,n,a,k,y,1179
write,w,r,i,t,e,1179
noise,n,o,i,s,e,1177
sleek,s,l,e,e,k,1175
blade,b,l,a,d,e,1174
drier,d,r,i,e,r,1174
blame,b,l,a,m,e,1173
skier,s,k,i,e,r,1172
spike,s,p,i,k,e,1172
urine,u,r,i,n,e,1172
irate,i,r,a,t,e,1171
corer,c,o,r,e,r,1170
honey,h,o,n,e,y,1169
brute,b,r,u,t,e,1168
pride,p,r,i,d,e,1168
cried,c,r,i,e,d,1167
prime,p,r,i,m,e,1167
sooth,s,o,o,t,h,1167
spiel,s,p,i,e,l,1167
stoke,s,t,o,k,e,1166
piney,p,i,n,e,y,1165
drake,d,r,a,k,e,1164
sewer,s,e,w,e,r,1164
voice,v,o,i,c,e,1164
broke,b,r,o,k,e,1163
grape,g,r,a,p,e,1163
chore,c,h,o,r,e,1162
guise,g,u,i,s,e,1162
slain,s,l,a,i,n,1162
sneer,s,n,e,e,r,1160
drape,d,r,a,p,e,1159
grave,g,r,a,v,e,1159
meaty,m,e,a,t,y,1159
short,s,h,o,r,t,1159
sonar,s,o,n,a,r,1159
toast,t,o,a,s,t,1159
sweet,s,w,e,e,t,1158
stove,s,t,o,v,e,1157
truce,t,r,u,c,e,1157
wrote,w,r,o,t,e,1157
crazy,c,r,a,z,y,1156
tripe,t,r,i,p,e,1156
beady,b,e,a,d,y,1155
hairy,h,a,i,r,y,1155
noose,n,o,o,s,e,1155
start,s,t,a,r,t,1155
bribe,b,r,i,b,e,1154
foamy,f,o,a,m,y,1154
force,f,o,r,c,e,1154
taint,t,a,i,n,t,1154
guile,g,u,i,l,e,1153
soggy,s,o,g,g,y,1152
spoke,s,p,o,k,e,1150
steer,s,t,e,e,r,1150
beret,b,e,r,e,t,1149
terse,t,e,r,s,e,1149
cadet,c,a,d,e,t,1148
scant,s,c,a,n,t,1148
weary,w,e,a,r,y,1148
false,f,a,l,s,e,1147
paint,p,a,i,n,t,1147
beast,b,e,a,s,t,1146
mouse,m,o,u,s,e,1146
cable,c,a,b,l,e,1145
caste,c,a,s,t,e,1145
rouse,r,o,u,s,e,1144
stint,s,t,i,n,t,1144
cater,c,a,t,e,r,1143
elate,e,l,a,t,e,1143
showy,s,h,o,w,y,1143
curse,c,u,r,s,e,1142
sappy,s,a,p,p,y,1142
faint,f,a,i,n,t,1141
forte,f,o,r,t,e,1141
barge,b,a,r,g,e,1140
booze,b,o,o,z,e,1140
grime,g,r,i,m,e,1140
super,s,u,p,e,r,1140
parer,p,a,r,e,r,1139
plier,p,l,i,e,r,1139
shoot,s,h,o,o,t,1139
slack,s,l,a,c,k,1139
alley,a,l,l,e,y,1136
diary,d,i,a,r,y,1136
flame,f,l,a,m,e,1136
phone,p,h,o,n,e,1136
wooer,w,o,o,e,r,1136
carve,c,a,r,v,e,1135
shall,s,h,a,l,l,1135
sheen,s,h,e,e,n,1135
creme,c,r,e,m,e,1134
trait,t,r,a,i,t,1134
trope,t,r,o,p,e,1134
flier,f,l,i,e,r,1133
graze,g,r,a,z,e,1133
poesy,p,o,e,s,y,1133
stray,s,t,r,a,y,1133
solar,s,o,l,a,r,1132
those,t,h,o,s,e,1132
wooly,w,o,o,l,y,1132
copse,c,o,p,s,e,1130
dance,d,a,n,c,e,1130
dopey,d,o,p,e,y,1130
greet,g,r,e,e,t,1130
tribe,t,r,i,b,e,1130
trove,t,r,o,v,e,1130
geese,g,e,e,s,e,1129
penne,p,e,n,n,e,1129
savvy,s,a,v,v,y,1129
spied,s,p,i,e,d,1129
slink,s,l,i,n,k,1128
tract,t,r,a,c,t,1128
louse,l,o,u,s,e,1127
smoke,s,m,o,k,e,1127
blaze,b,l,a,z,e,1125
fanny,f,a,n,n,y,1125
parry,p,a,r,r,y,1125
tense,t,e,n,s,e,1125
grant,g,r,a,n,t,1124
scope,s,c,o,p,e,1124
stilt,s,t,i,l,t,1124
crude,c,r,u,d,e,1123
flake,f,l,a,k,e,1123
prove,p,r,o,v,e,1123
waive,w,a,i,v,e,1123
deity,d,e,i,t,y,1122
gripe,g,r,i,p,e,1122
point,p,o,i,n,t,1122
slyly,s,l,y,l,y,1122
maize,m,a,i,z,e,1121
slosh,s,l,o,s,h,1121
baste,b,a,s,t,e,1120
boost,b,o,o,s,t,1120
pansy,p,a,n,s,y,1120
stair,s,t,a,i,r,1120
whale,w,h,a,l,e,1120
worse,w,o,r,s,e,1120
baler,b,a,l,e,r,1119
prize,p,r,i,z,e,1119
sleep,s,l,e,e,p,1118
tried,t,r,i,e,d,1118
noisy,n,o,i,s,y,1117
semen,s,e,m,e,n,1117
spray,s,p,r,a,y,1117
catty,c,a,t,t,y,1116
coupe,c,o,u,p,e,1116
crepe,c,r,e,p,e,1116
glade,g,l,a,d,e,1116
smart,s,m,a,r,t,1116
roast,r,o,a,s,t,1115
drive,d,r,i,v,e,1114
belle,b,e,l,l,e,1113
clove,c,l,o,v,e,1113
party,p,a,r,t,y,1112
route,r,o,u,t,e,1112
shank,s,h,a,n,k,1112
spiky,s,p,i,k,y,1112
biome,b,i,o,m,e,1111
pried,p,r,i,e,d,1111
truer,t,r,u,e,r,1111
freer,f,r,e,e,r,1110
print,p,r,i,n,t,1110
shunt,s,h,u,n,t,1110
sound,s,o,u,n,d,1110
belie,b,e,l,i,e,1109
comet,c,o,m,e,t,1109
feast,f,e,a,s,t,1109
chafe,c,h,a,f,e,1108
house,h,o,u,s,e,1108
spilt,s,p,i,l,t,1108
lance,l,a,n,c,e,1107
leave,l,e,a,v,e,1107
reuse,r,e,u,s,e,1107
truly,t,r,u,l,y,1107
horse,h,o,r,s,e,1106
loamy,l,o,a,m,y,1106
blast,b,l,a,s,t,1105
foist,f,o,i,s,t,1105
foray,f,o,r,a,y,1105
fried,f,r,i,e,d,1105
seven,s,e,v,e,n,1105
shaft,s,h,a,f,t,1105
cruel,c,r,u,e,l,1104
elite,e,l,i,t,e,1102
rarer,r,a,r,e,r,1102
snort,s,n,o,r,t,1102
weave,w,e,a,v,e,1102
chide,c,h,i,d,e,1101
haute,h,a,u,t,e,1101
probe,p,r,o,b,e,1101
tenet,t,e,n,e,t,1101
chime,c,h,i,m,e,1100
grope,g,r,o,p,e,1100
gravy,g,r,a,v,y,1099
pence,p,e,n,c,e,1099
silky,s,i,l,k,y,1099
whine,w,h,i,n,e,1099
array,a,r,r,a,y,1098
slick,s,l,i,c,k,1098
bloke,b,l,o,k,e,1097
covet,c,o,v,e,t,1097
piece,p,i,e,c,e,1097
slang,s,l,a,n,g,1097
grove,g,r,o,v,e,1096
posse,p,o,s,s,e,1096
table,t,a,b,l,e,1096
taste,t,a,s,t,e,1096
fancy,f,a,n,c,y,1095
berry,b,e,r,r,y,1094
deuce,d,e,u,c,e,1094
steel,s,t,e,e,l,1094
fence,f,e,n,c,e,1093
palsy,p,a,l,s,y,1093
drove,d,r,o,v,e,1092
patsy,p,a,t,s,y,1092
batty,b,a,t,t,y,1091
froze,f,r,o,z,e,1091
irony,i,r,o,n,y,1091
meant,m,e,a,n,t,1091
rupee,r,u,p,e,e,1091
tally,t,a,l,l,y,1091
caper,c,a,p,e,r,1090
marry,m,a,r,r,y,1090
paste,p,a,s,t,e,1089
pouty,p,o,u,t,y,1089
shout,s,h,o,u,t,1089
sloth,s,l,o,t,h,1089
heave,h,e,a,v,e,1088
paler,p,a,l,e,r,1088
south,s,o,u,t,h,1088
alike,a,l,i,k,e,1087
dense,d,e,n,s,e,1087
ready,r,e,a,d,y,1087
shard,s,h,a,r,d,1087
masse,m,a,s,s,e,1086
purse,p,u,r,s,e,1086
snowy,s,n,o,w,y,1086
fleet,f,l,e,e,t,1085
plant,p,l,a,n,t,1085
privy,p,r,i,v,y,1085
booby,b,o,o,b,y,1084
chant,c,h,a,n,t,1084
gauge,g,a,u,g,e,1084
fable,f,a,b,l,e,1083
sixty,s,i,x,t,y,1083
sulky,s,u,l,k,y,1083
crash,c,r,a,s,h,1082
front,f,r,o,n,t,1082
shack,s,h,a,c,k,1082
shark,s,h,a,r,k,1082
briar,b,r,i,a,r,1081
carat,c,a,r,a,t,1081
forty,f,o,r,t,y,1081
sauna,s,a,u,n,a,1081
boozy,b,o,o,z,y,1080
dried,d,r,i,e,d,1080
grimy,g,r,i,m,y,1080
while,w,h,i,l,e,1079
alive,a,l,i,v,e,1078
badly,b,a,d,l,y,1078
creed,c,r,e,e,d,1078
forge,f,o,r,g,e,1078
genie,g,e,n,i,e,1078
nosey,n,o,s,e,y,1078
count,c,o,u,n,t,1077
cutie,c,u,t,i,e,1077
naive,n,a,i,v,e,1077
waist,w,a,i,s,t,1077
erode,e,r,o,d,e,1076
glory,g,l,o,r,y,1076
manly,m,a,n,l,y,1076
moist,m,o,i,s,t,1076
phony,p,h,o,n,y,1076
sport,s,p,o,r,t,1076
coach,c,o,a,c,h,1075
dealt,d,e,a,l,t,1075
glide,g,l,i,d,e,1075
candy,c,a,n,d,y,1074
snail,s,n,a,i,l,1074
creek,c,r,e,e,k,1073
curly,c,u,r,l,y,1073
shoal,s,h,o,a,l,1073
genre,g,e,n,r,e,1072
leant,l,e,a,n,t,1072
frost,f,r,o,s,t,1071
goody,g,o,o,d,y,1071
chute,c,h,u,t,e,1070
bluer,b,l,u,e,r,1069
penny,p,e,n,n,y,1069
satin,s,a,t,i,n,1069
atone,a,t,o,n,e,1068
aware,a,w,a,r,e,1068
snarl,s,n,a,r,l,1068
stall,s,t,a,l,l,1068
bossy,b,o,s,s,y,1067
crank,c,r,a,n,k,1067
facet,f,a,c,e,t,1067
glaze,g,l,a,z,e,1067
lousy,l,o,u,s,y,1067
prude,p,r,u,d,e,1067
smoky,s,m,o,k,y,1067
tatty,t,a,t,t,y,1067
beset,b,e,s,e,t,1066
crest,c,r,e,s,t,1066
latte,l,a,t,t,e,1066
whose,w,h,o,s,e,1066
choke,c,h,o,k,e,1065
early,e,a,r,l,y,1065
flute,f,l,u,t,e,1065
shyly,s,h,y,l,y,1065
these,t,h,e,s,e,1065
twine,t,w,i,n,e,1065
shift,s,h,i,f,t,1064
curry,c,u,r,r,y,1063
flaky,f,l,a,k,y,1063
goner,g,o,n,e,r,1063
moody,m,o,o,d,y,1063
salad,s,a,l,a,d,1063
savor,s,a,v,o,r,1063
shear,s,h,e,a,r,1062
least,l,e,a,s,t,1061
plait,p,l,a,i,t,1061
sheep,s,h,e,e,p,1061
craft,c,r,a,f,t,1060
guide,g,u,i,d,e,1060
patty,p,a,t,t,y,1060
roomy,r,o,o,m,y,1060
stash,s,t,a,s,h,1060
abase,a,b,a,s,e,1059
eerie,e,e,r,i,e,1059
giant,g,i,a,n,t,1059
gouge,g,o,u,g,e,1059
panel,p,a,n,e,l,1059
react,r,e,a,c,t,1059
agree,a,g,r,e,e,1058
style,s,t,y,l,e,1058
brash,b,r,a,s,h,1057
ferry,f,e,r,r,y,1057
gorge,g,o,r,g,e,1057
horny,h,o,r,n,y,1057
whole,w,h,o,l,e,1057
alien,a,l,i,e,n,1056
cover,c,o,v,e,r,1056
leaky,l,e,a,k,y,1056
sling,s,l,i,n,g,1056
steed,s,t,e,e,d,1056
white,w,h,i,t,e,1056
large,l,a,r,g,e,1055
maple,m,a,p,l,e,1055
artsy,a,r,t,s,y,1054
chart,c,h,a,r,t,1054
crust,c,r,u,s,t,1054
fatty,f,a,t,t,y,1054
beget,b,e,g,e,t,1053
belly,b,e,l,l,y,1053
breed,b,r,e,e,d,1053
dally,d,a,l,l,y,1053
folly,f,o,l,l,y,1053
ladle,l,a,d,l,e,1053
taunt,t,a,u,n,t,1053
warty,w,a,r,t,y,1053
badge,b,a,d,g,e,1052
harry,h,a,r,r,y,1052
roost,r,o,o,s,t,1052
dicey,d,i,c,e,y,1051
heady,h,e,a,d,y,1051
brief,b,r,i,e,f,1050
cairn,c,a,i,r,n,1050
diode,d,i,o,d,e,1050
mange,m,a,n,g,e,1050
stand,s,t,a,n,d,1050
cheer,c,h,e,e,r,1049
rouge,r,o,u,g,e,1049
tardy,t,a,r,d,y,1049
burly,b,u,r,l,y,1048
juice,j,u,i,c,e,1048
range,r,a,n,g,e,1048
title,t,i,t,l,e,1048
brand,b,r,a,n,d,1047
court,c,o,u,r,t,1047
rally,r,a,l,l,y,1047
skirt,s,k,i,r,t,1047
slept,s,l,e,p,t,1047
lorry,l,o,r,r,y,1046
mauve,m,a,u,v,e,1046
quiet,q,u,i,e,t,1046
there,t,h,e,r,e,1046
lapse,l,a,p,s,e,1045
plied,p,l,i,e,d,1045
stank,s,t,a,n,k,1045
bunny,b,u,n,n,y,1044
friar,f,r,i,a,r,1044
salon,s,a,l,o,n,1044
tamer,t,a,m,e,r,1044
stunt,s,t,u,n,t,1043
verse,v,e,r,s,e,1043
sinew,s,i,n,e,w,1042
slush,s,l,u,s,h,1042
rinse,r,i,n,s,e,1041
shirk,s,h,i,r,k,1041
study,s,t,u,d,y,1041
suing,s,u,i,n,g,1041
taper,t,a,p,e,r,1041
worry,w,o,r,r,y,1041
bathe,b,a,t,h,e,1040
brunt,b,r,u,n,t,1040
built,b,u,i,l,t,1040
speed,s,p,e,e,d,1040
wrist,w,r,i,s,t,1040
spent,s,p,e,n,t,1039
whiny,w,h,i,n,y,1039
woody,w,o,o,d,y,1039
flint,f,l,i,n,t,1038
hoist,h,o,i,s,t,1038
quite,q,u,i,t,e,1038
stain,s,t,a,i,n,1038
camel,c,a,m,e,l,1037
crack,c,r,a,c,k,1037
goofy,g,o,o,f,y,1037
trail,t,r,a,i,l,1037
leafy,l,e,a,f,y,1036
shorn,s,h,o,r,n,1036
tasty,t,a,s,t,y,1036
brain,b,r,a,i,n,1035
pulse,p,u,l,s,e,1035
twice,t,w,i,c,e,1035
bloat,b,l,o,a,t,1034
gassy,g,a,s,s,y,1034
inane,i,n,a,n,e,1034
paper,p,a,p,e,r,1034
preen,p,r,e,e,n,1034
butte,b,u,t,t,e,1033
cower,c,o,w,e,r,1033
droit,d,r,o,i,t,1033
later,l,a,t,e,r,1033
solid,s,o,l,i,d,1033
trash,t,r,a,s,h,1033
tulle,t,u,l,l,e,1033
coyly,c,o,y,l,y,1032
elide,e,l,i,d,e,1032
golly,g,o,l,l,y,1032
snout,s,n,o,u,t,1032
tangy,t,a,n,g,y,1032
fiery,f,i,e,r,y,1031
poser,p,o,s,e,r,1031
glove,g,l,o,v,e,1030
today,t,o,d,a,y,1030
valet,v,a,l,e,t,1030
waste,w,a,s,t,e,1030
board,b,o,a,r,d,1029
eagle,e,a,g,l,e,1029
pasty,p,a,s,t,y,1029
small,s,m,a,l,l,1029
spank,s,p,a,n,k,1029
dolly,d,o,l,l,y,1028
gauze,g,a,u,z,e,1028
heavy,h,e,a,v,y,1028
mercy,m,e,r,c,y,1028
merry,m,e,r,r,y,1028
water,w,a,t,e,r,1028
abate,a,b,a,t,e,1027
slunk,s,l,u,n,k,1027
still,s,t,i,l,l,1027
swash,s,w,a,s,h,1027
hence,h,e,n,c,e,1026
nanny,n,a,n,n,y,1026
staid,s,t,a,i,d,1026
loopy,l,o,o,p,y,1025
sharp,s,h,a,r,p,1025
snack,s,n,a,c,k,1025
stalk,s,t,a,l,k,1025
tawny,t,a,w,n,y,1025
frail,f,r,a,i,l,1024
mince,m,i,n,c,e,1024
piety,p,i,e,t,y,1024
agate,a,g,a,t,e,1023
braid,b,r,a,i,d,1023
heart,h,e,a,r,t,1023
leery,l,e,e,r,y,1023
ratty,r,a,t,t,y,1023
stout,s,t,o,u,t,1022
balmy,b,a,l,m,y,1021
filet,f,i,l,e,t,1021
gruel,g,r,u,e,l,1021
purer,p,u,r,e,r,1021
smash,s,m,a,s,h,1021
fault,f,a,u,l,t,1020
proxy,p,r,o,x,y,1020
baker,b,a,k,e,r,1019
