words,turns,guesses
verve,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bybbg'], [3, 'gorge', 'bbgbg'], [4, 'verve', 'ggggg']]"
rifle,4,"[[1, 'slate', 'bybbg'], [2, 'belle', 'bbbgg'], [3, 'while', 'bbygg'], [4, 'rifle', 'ggggg']]"
creak,3,"[[1, 'slate', 'bbyby'], [2, 'racer', 'yyyyb'], [3, 'creak', 'ggggg']]"
leper,3,"[[1, 'slate', 'bybby'], [2, 'level', 'ggbgb'], [3, 'leper', 'ggggg']]"
blond,4,"[[1, 'slate', 'bgbbb'], [2, 'flunk', 'bgbgb'], [3, 'blind', 'ggbgg'], [4, 'blond', 'ggggg']]"
buyer,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'bbbgg'], [4, 'power', 'bbbgg'], [5, 'buyer', 'ggggg']]"
abuse,4,"[[1, 'slate', 'ybybg'], [2, 'pause', 'byggg'], [3, 'amuse', 'gbggg'], [4, 'abuse', 'ggggg']]"
bound,4,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbygb'], [3, 'pound', 'bgggg'], [4, 'bound', 'ggggg']]"
duvet,4,"[[1, 'slate', 'bbbyy'], [2, 'tenet', 'bbbgg'], [3, 'covet', 'bbggg'], [4, 'duvet', 'ggggg']]"
riser,2,"[[1, 'slate', 'ybbby'], [2, 'riser', 'ggggg']]"
abide,4,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bybbg'], [3, 'abode', 'ggbgg'], [4, 'abide', 'ggggg']]"
cross,3,"[[1, 'slate', 'ybbbb'], [2, 'missy', 'bbygb'], [3, 'cross', 'ggggg']]"
flout,3,"[[1, 'slate', 'bgbyb'], [2, 'flint', 'ggbbg'], [3, 'flout', 'ggggg']]"
grasp,4,"[[1, 'slate', 'ybgbb'], [2, 'crash', 'bgggb'], [3, 'grass', 'ggggb'], [4, 'grasp', 'ggggg']]"
queer,6,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bybgg'], [3, 'cider', 'bbbgg'], [4, 'power', 'bbbgg'], [5, 'buyer', 'bgbgg'], [6, 'queer', 'ggggg']]"
sight,4,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'gbbbg'], [3, 'shirt', 'gyybg'], [4, 'sight', 'ggggg']]"
spook,3,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbggg'], [3, 'spook', 'ggggg']]"
swoon,4,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbggb'], [3, 'swoop', 'ggggb'], [4, 'swoon', 'ggggg']]"
aside,3,"[[1, 'slate', 'ybybg'], [2, 'pause', 'bybyg'], [3, 'aside', 'ggggg']]"
laden,4,"[[1, 'slate', 'byyby'], [2, 'legal', 'gybyb'], [3, 'layer', 'ggbgb'], [4, 'laden', 'ggggg']]"
brush,3,"[[1, 'slate', 'ybbbb'], [2, 'missy', 'bbbgb'], [3, 'brush', 'ggggg']]"
apart,4,"[[1, 'slate', 'bbgyb'], [2, 'trait', 'bygbg'], [3, 'chart', 'bbggg'], [4, 'apart', 'ggggg']]"
groin,4,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bggyb'], [3, 'grown', 'gggbg'], [4, 'groin', 'ggggg']]"
tithe,3,"[[1, 'slate', 'bbbyg'], [2, 'trice', 'gbybg'], [3, 'tithe', 'ggggg']]"
class,3,"[[1, 'slate', 'yggbb'], [2, 'clash', 'ggggb'], [3, 'class', 'ggggg']]"
lunge,4,"[[1, 'slate', 'bybbg'], [2, 'belle', 'bbybg'], [3, 'lodge', 'gbbgg'], [4, 'lunge', 'ggggg']]"
order,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'bbggg'], [4, 'udder', 'bbggg'], [5, 'order', 'ggggg']]"
smock,3,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbgbg'], [3, 'smock', 'ggggg']]"
taken,3,"[[1, 'slate', 'bbyyy'], [2, 'cater', 'bgygb'], [3, 'taken', 'ggggg']]"
frock,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'yggbb'], [3, 'frock', 'ggggg']]"
nerve,5,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bybbg'], [3, 'gorge', 'bbgbg'], [4, 'verve', 'bgggg'], [5, 'nerve', 'ggggg']]"
posit,3,"[[1, 'slate', 'ybbyb'], [2, 'foist', 'bgyyg'], [3, 'posit', 'ggggg']]"
rider,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'bgggg'], [4, 'rider', 'ggggg']]"
swarm,4,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gbggb'], [3, 'scary', 'gbggb'], [4, 'swarm', 'ggggg']]"
gipsy,3,"[[1, 'slate', 'ybbbb'], [2, 'missy', 'bgbgg'], [3, 'gipsy', 'ggggg']]"
hinge,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbybg'], [3, 'binge', 'bgggg'], [4, 'hinge', 'ggggg']]"
drool,4,"[[1, 'slate', 'bybbb'], [2, 'golly', 'byybb'], [3, 'broil', 'bggbg'], [4, 'drool', 'ggggg']]"
fraud,5,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bggbb'], [3, 'brain', 'bggbb'], [4, 'gravy', 'bggbb'], [5, 'fraud', 'ggggg']]"
lever,3,"[[1, 'slate', 'bybby'], [2, 'level', 'ggggb'], [3, 'lever', 'ggggg']]"
shown,3,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gggbb'], [3, 'shown', 'ggggg']]"
acute,3,"[[1, 'slate', 'bbygg'], [2, 'haute', 'byggg'], [3, 'acute', 'ggggg']]"
hilly,7,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bbggg'], [3, 'dilly', 'bgggg'], [4, 'billy', 'bgggg'], [5, 'filly', 'bgggg'], [6, 'willy', 'bgggg'], [7, 'hilly', 'ggggg']]"
flack,3,"[[1, 'slate', 'bggbb'], [2, 'clank', 'yggbg'], [3, 'flack', 'ggggg']]"
awoke,4,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bybbg'], [3, 'abode', 'gbgbg'], [4, 'awoke', 'ggggg']]"
clock,3,"[[1, 'slate', 'bgbbb'], [2, 'flunk', 'bgbbg'], [3, 'clock', 'ggggg']]"
defer,3,"[[1, 'slate', 'bbbby'], [2, 'fever', 'ygbgg'], [3, 'defer', 'ggggg']]"
emcee,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbbyg'], [3, 'choke', 'ybbbg'], [4, 'emcee', 'ggggg']]"
polar,4,"[[1, 'slate', 'byybb'], [2, 'canal', 'bbbgy'], [3, 'molar', 'bgggg'], [4, 'polar', 'ggggg']]"
stein,3,"[[1, 'slate', 'gbbyy'], [2, 'sweet', 'gbgby'], [3, 'stein', 'ggggg']]"
conch,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'gbyyb'], [3, 'conch', 'ggggg']]"
claim,3,"[[1, 'slate', 'bggbb'], [2, 'clank', 'gggbb'], [3, 'claim', 'ggggg']]"
raven,4,"[[1, 'slate', 'bbyby'], [2, 'racer', 'ggbgb'], [3, 'ramen', 'ggbgg'], [4, 'raven', 'ggggg']]"
sneak,3,"[[1, 'slate', 'gbyby'], [2, 'spear', 'gbggb'], [3, 'sneak', 'ggggg']]"
ledge,3,"[[1, 'slate', 'bybbg'], [2, 'belle', 'bgybg'], [3, 'ledge', 'ggggg']]"
swell,4,"[[1, 'slate', 'gybby'], [2, 'shell', 'gbggg'], [3, 'spell', 'gbggg'], [4, 'swell', 'ggggg']]"
wryly,4,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bbbgg'], [3, 'dryly', 'bgggg'], [4, 'wryly', 'ggggg']]"
dodgy,4,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbybg'], [3, 'dowdy', 'ggbbg'], [4, 'dodgy', 'ggggg']]"
build,4,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bbbgb'], [3, 'child', 'bbggg'], [4, 'build', 'ggggg']]"
decoy,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bgbbb'], [3, 'deign', 'ggbbb'], [4, 'decoy', 'ggggg']]"
being,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bgbbb'], [3, 'deign', 'bggyy'], [4, 'being', 'ggggg']]"
catch,5,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'ygbbb'], [3, 'patch', 'bgggg'], [4, 'hatch', 'bgggg'], [5, 'catch', 'ggggg']]"
derby,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bgbby'], [3, 'merry', 'bggbg'], [4, 'perky', 'bggbg'], [5, 'derby', 'ggggg']]"
mammy,4,"[[1, 'slate', 'bbybb'], [2, 'marry', 'ggbbg'], [3, 'mangy', 'ggbbg'], [4, 'mammy', 'ggggg']]"
screw,4,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbbgy'], [3, 'siren', 'gbggb'], [4, 'screw', 'ggggg']]"
spend,3,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbgbb'], [3, 'spend', 'ggggg']]"
trawl,3,"[[1, 'slate', 'bygyb'], [2, 'trail', 'gggbg'], [3, 'trawl', 'ggggg']]"
raspy,3,"[[1, 'slate', 'ybybb'], [2, 'gassy', 'bggbg'], [3, 'raspy', 'ggggg']]"
thief,4,"[[1, 'slate', 'bbbyy'], [2, 'tenet', 'gbbgb'], [3, 'timer', 'gybgb'], [4, 'thief', 'ggggg']]"
stunk,3,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'ggbyb'], [3, 'stunk', 'ggggg']]"
await,3,"[[1, 'slate', 'bbgyb'], [2, 'trait', 'bbggg'], [3, 'await', 'ggggg']]"
gaffe,4,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bgbbg'], [3, 'barge', 'bgbyg'], [4, 'gaffe', 'ggggg']]"
canon,3,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bgbbb'], [3, 'canon', 'ggggg']]"
query,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bybby'], [3, 'credo', 'bygbb'], [4, 'query', 'ggggg']]"
stern,4,"[[1, 'slate', 'gbbyy'], [2, 'sweet', 'gbgby'], [3, 'stein', 'gggbg'], [4, 'stern', 'ggggg']]"
revue,5,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bybbg'], [3, 'gorge', 'bbybg'], [4, 'rhyme', 'gbbbg'], [5, 'revue', 'ggggg']]"
refer,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'ygbgg'], [3, 'defer', 'bgggg'], [4, 'refer', 'ggggg']]"
guest,4,"[[1, 'slate', 'ybbyy'], [2, 'beset', 'byybg'], [3, 'crest', 'bbggg'], [4, 'guest', 'ggggg']]"
pinky,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbbyg'], [3, 'pinky', 'ggggg']]"
brawn,4,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bggbb'], [3, 'brain', 'gggbg'], [4, 'brawn', 'ggggg']]"
baron,3,"[[1, 'slate', 'bbybb'], [2, 'marry', 'bggbb'], [3, 'baron', 'ggggg']]"
stead,2,"[[1, 'slate', 'gbyyy'], [2, 'stead', 'ggggg']]"
bezel,5,"[[1, 'slate', 'bybby'], [2, 'level', 'bgbgg'], [3, 'repel', 'bgbgg'], [4, 'jewel', 'bgbgg'], [5, 'bezel', 'ggggg']]"
dimly,4,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bbbgg'], [3, 'dryly', 'gbbgg'], [4, 'dimly', 'ggggg']]"
jelly,4,"[[1, 'slate', 'bybby'], [2, 'level', 'ygbby'], [3, 'belly', 'bgggg'], [4, 'jelly', 'ggggg']]"
wedge,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbbbg'], [3, 'fudge', 'bbggg'], [4, 'wedge', 'ggggg']]"
nobly,5,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bgbgg'], [3, 'wooly', 'bgbgg'], [4, 'coyly', 'bgbgg'], [5, 'nobly', 'ggggg']]"
smell,5,"[[1, 'slate', 'gybby'], [2, 'shell', 'gbggg'], [3, 'spell', 'gbggg'], [4, 'swell', 'gbggg'], [5, 'smell', 'ggggg']]"
swing,4,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbbbb'], [3, 'spiny', 'gbggb'], [4, 'swing', 'ggggg']]"
teddy,4,"[[1, 'slate', 'bbbyy'], [2, 'tenet', 'ggbbb'], [3, 'tepid', 'ggbby'], [4, 'teddy', 'ggggg']]"
totem,4,"[[1, 'slate', 'bbbyy'], [2, 'tenet', 'gbbgb'], [3, 'timer', 'gbygb'], [4, 'totem', 'ggggg']]"
witty,5,"[[1, 'slate', 'bbbgb'], [2, 'mirth', 'bgbgb'], [3, 'ditty', 'bgggg'], [4, 'bitty', 'bgggg'], [5, 'witty', 'ggggg']]"
tabby,3,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'ggbbb'], [3, 'tabby', 'ggggg']]"
bread,4,"[[1, 'slate', 'bbyby'], [2, 'racer', 'yybyb'], [3, 'break', 'ggggb'], [4, 'bread', 'ggggg']]"
begat,4,"[[1, 'slate', 'bbyyy'], [2, 'cater', 'byyyb'], [3, 'wheat', 'bbygg'], [4, 'begat', 'ggggg']]"
bobby,5,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbybg'], [3, 'dowdy', 'bgbbg'], [4, 'hobby', 'bgggg'], [5, 'bobby', 'ggggg']]"
fudge,3,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbbbg'], [3, 'fudge', 'ggggg']]"
abbey,4,"[[1, 'slate', 'bbyby'], [2, 'racer', 'bybgb'], [3, 'apnea', 'gbbgb'], [4, 'abbey', 'ggggg']]"
cramp,4,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'gggbb'], [3, 'crazy', 'gggbb'], [4, 'cramp', 'ggggg']]"
flyer,4,"[[1, 'slate', 'bgbby'], [2, 'elder', 'bgbgg'], [3, 'flier', 'ggbgg'], [4, 'flyer', 'ggggg']]"
giver,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbggg'], [3, 'rover', 'bbggg'], [4, 'diver', 'bgggg'], [5, 'giver', 'ggggg']]"
grass,3,"[[1, 'slate', 'ybgbb'], [2, 'crash', 'bgggb'], [3, 'grass', 'ggggg']]"
harem,3,"[[1, 'slate', 'bbyby'], [2, 'racer', 'ygbgb'], [3, 'harem', 'ggggg']]"
heath,3,"[[1, 'slate', 'bbggy'], [2, 'death', 'bgggg'], [3, 'heath', 'ggggg']]"
ruder,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'bbggg'], [4, 'udder', 'ybggg'], [5, 'ruder', 'ggggg']]"
steak,3,"[[1, 'slate', 'gbyyy'], [2, 'stead', 'ggggb'], [3, 'steak', 'ggggg']]"
serum,4,"[[1, 'slate', 'gbbby'], [2, 'sheer', 'gbyby'], [3, 'serif', 'gggbb'], [4, 'serum', 'ggggg']]"
vogue,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbbbg'], [3, 'fudge', 'bybyg'], [4, 'vogue', 'ggggg']]"
thank,3,"[[1, 'slate', 'bbgyb'], [2, 'trait', 'gbgbb'], [3, 'thank', 'ggggg']]"
wiser,4,"[[1, 'slate', 'ybbby'], [2, 'riser', 'bgggg'], [3, 'miser', 'bgggg'], [4, 'wiser', 'ggggg']]"
riper,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'bgbgg'], [4, 'riper', 'ggggg']]"
caput,3,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'bgybg'], [3, 'caput', 'ggggg']]"
lofty,2,"[[1, 'slate', 'bybgb'], [2, 'lofty', 'ggggg']]"
fugue,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbbbg'], [3, 'fudge', 'ggbyg'], [4, 'fugue', 'ggggg']]"
manor,3,"[[1, 'slate', 'bbybb'], [2, 'marry', 'ggybb'], [3, 'manor', 'ggggg']]"
abode,3,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bybbg'], [3, 'abode', 'ggggg']]"
break,3,"[[1, 'slate', 'bbyby'], [2, 'racer', 'yybyb'], [3, 'break', 'ggggg']]"
ozone,5,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbbbg'], [3, 'fudge', 'bbbbg'], [4, 'booze', 'bygyg'], [5, 'ozone', 'ggggg']]"
poppy,6,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbybg'], [3, 'dowdy', 'bgbbg'], [4, 'hobby', 'bgbbg'], [5, 'foggy', 'bgbbg'], [6, 'poppy', 'ggggg']]"
trend,3,"[[1, 'slate', 'bbbyy'], [2, 'tenet', 'gyybb'], [3, 'trend', 'ggggg']]"
dingy,4,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbbyg'], [3, 'pinky', 'bggbg'], [4, 'dingy', 'ggggg']]"
diver,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbggg'], [3, 'rover', 'bbggg'], [4, 'diver', 'ggggg']]"
queue,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbbbg'], [3, 'fudge', 'bgbbg'], [4, 'queue', 'ggggg']]"
piano,4,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bbgbb'], [3, 'again', 'bbgyy'], [4, 'piano', 'ggggg']]"
scarf,4,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gbggb'], [3, 'scary', 'ggggb'], [4, 'scarf', 'ggggg']]"
elegy,3,"[[1, 'slate', 'bgbby'], [2, 'elder', 'ggbbb'], [3, 'elegy', 'ggggg']]"
wider,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgg'], [3, 'cider', 'bgggg'], [4, 'rider', 'bgggg'], [5, 'wider', 'ggggg']]"
swept,3,"[[1, 'slate', 'gbbyy'], [2, 'sweet', 'gggbg'], [3, 'swept', 'ggggg']]"
quilt,4,"[[1, 'slate', 'bybyb'], [2, 'built', 'bgggg'], [3, 'guilt', 'bgggg'], [4, 'quilt', 'ggggg']]"
fresh,4,"[[1, 'slate', 'ybbby'], [2, 'riser', 'ybyyb'], [3, 'press', 'bgggb'], [4, 'fresh', 'ggggg']]"
cedar,3,"[[1, 'slate', 'bbyby'], [2, 'racer', 'byyyg'], [3, 'cedar', 'ggggg']]"
bulky,3,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bbgbg'], [3, 'bulky', 'ggggg']]"
dowel,4,"[[1, 'slate', 'bybby'], [2, 'level', 'bbbgg'], [3, 'bowel', 'bgggg'], [4, 'dowel', 'ggggg']]"
needy,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bgbbb'], [3, 'beech', 'bggbb'], [4, 'weedy', 'bgggg'], [5, 'needy', 'ggggg']]"
spawn,4,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gbgbb'], [3, 'swamp', 'gygby'], [4, 'spawn', 'ggggg']]"
unity,3,"[[1, 'slate', 'bbbgb'], [2, 'mirth', 'bybgb'], [3, 'unity', 'ggggg']]"
maybe,5,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'ggbbg'], [3, 'mange', 'ggbbg'], [4, 'maize', 'ggbbg'], [5, 'maybe', 'ggggg']]"
token,3,"[[1, 'slate', 'bbbyy'], [2, 'tenet', 'gbygb'], [3, 'token', 'ggggg']]"
sepia,3,"[[1, 'slate', 'gbyby'], [2, 'spear', 'gyyyb'], [3, 'sepia', 'ggggg']]"
prism,3,"[[1, 'slate', 'ybbbb'], [2, 'missy', 'yybgb'], [3, 'prism', 'ggggg']]"
heard,3,"[[1, 'slate', 'bbgby'], [2, 'beady', 'bggyb'], [3, 'heard', 'ggggg']]"
joust,5,"[[1, 'slate', 'ybbyb'], [2, 'foist', 'bgbgg'], [3, 'boost', 'bgbgg'], [4, 'worst', 'bgbgg'], [5, 'joust', 'ggggg']]"
cling,4,"[[1, 'slate', 'bgbbb'], [2, 'flunk', 'bgbgb'], [3, 'blind', 'bgggb'], [4, 'cling', 'ggggg']]"
child,3,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bbbgb'], [3, 'child', 'ggggg']]"
evade,3,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'bbgyg'], [3, 'evade', 'ggggg']]"
spunk,3,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbbbg'], [3, 'spunk', 'ggggg']]"
tonal,3,"[[1, 'slate', 'byyyb'], [2, 'fatal', 'bbygg'], [3, 'tonal', 'ggggg']]"
salvo,5,"[[1, 'slate', 'gyybb'], [2, 'sally', 'gggbb'], [3, 'salad', 'gggbb'], [4, 'salon', 'gggyb'], [5, 'salvo', 'ggggg']]"
pound,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbygb'], [3, 'pound', 'ggggg']]"
river,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbggg'], [3, 'rover', 'gbggg'], [4, 'river', 'ggggg']]"
hedge,5,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbbbg'], [3, 'fudge', 'bbggg'], [4, 'wedge', 'bgggg'], [5, 'hedge', 'ggggg']]"
snoop,5,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbggb'], [3, 'swoop', 'gbggg'], [4, 'scoop', 'gbggg'], [5, 'snoop', 'ggggg']]"
marsh,3,"[[1, 'slate', 'ybybb'], [2, 'gassy', 'bgbgb'], [3, 'marsh', 'ggggg']]"
midge,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bbybg'], [3, 'binge', 'bgbgg'], [4, 'midge', 'ggggg']]"
touch,4,"[[1, 'slate', 'bbbyb'], [2, 'tight', 'gbbyb'], [3, 'throb', 'gybyb'], [4, 'touch', 'ggggg']]"
knave,4,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'bbggg'], [3, 'weave', 'bbggg'], [4, 'knave', 'ggggg']]"
gusty,2,"[[1, 'slate', 'ybbgb'], [2, 'gusty', 'ggggg']]"
azure,3,"[[1, 'slate', 'bbybg'], [2, 'mauve', 'bygbg'], [3, 'azure', 'ggggg']]"
beech,3,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bgbbb'], [3, 'beech', 'ggggg']]"
biddy,5,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbbbg'], [3, 'dumpy', 'ybbbg'], [4, 'giddy', 'bgggg'], [5, 'biddy', 'ggggg']]"
block,4,"[[1, 'slate', 'bgbbb'], [2, 'flunk', 'bgbbg'], [3, 'clock', 'bgggg'], [4, 'block', 'ggggg']]"
going,4,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbygb'], [3, 'pound', 'bgbgb'], [4, 'going', 'ggggg']]"
pesky,3,"[[1, 'slate', 'ybbby'], [2, 'riser', 'bbgyb'], [3, 'pesky', 'ggggg']]"
snuck,4,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbbbg'], [3, 'spunk', 'gbgyg'], [4, 'snuck', 'ggggg']]"
twist,4,"[[1, 'slate', 'ybbyb'], [2, 'foist', 'bbggg'], [3, 'wrist', 'ybggg'], [4, 'twist', 'ggggg']]"
torch,4,"[[1, 'slate', 'bbbyb'], [2, 'tight', 'gbbyb'], [3, 'throb', 'gygyb'], [4, 'torch', 'ggggg']]"
ridge,4,"[[1, 'slate', 'bbbbg'], [2, 'price', 'byybg'], [3, 'dirge', 'ygygg'], [4, 'ridge', 'ggggg']]"
filmy,4,"[[1, 'slate', 'bybbb'], [2, 'golly', 'bbgbg'], [3, 'bulky', 'bbgbg'], [4, 'filmy', 'ggggg']]"
storm,5,"[[1, 'slate', 'gbbyb'], [2, 'stout', 'gggbb'], [3, 'stork', 'ggggb'], [4, 'story', 'ggggb'], [5, 'storm', 'ggggg']]"
tapir,4,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'ggbbb'], [3, 'tabby', 'ggbbb'], [4, 'tapir', 'ggggg']]"
angle,4,"[[1, 'slate', 'byybg'], [2, 'cable', 'bybgg'], [3, 'ample', 'gbbgg'], [4, 'angle', 'ggggg']]"
found,5,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbygb'], [3, 'pound', 'bgggg'], [4, 'bound', 'bgggg'], [5, 'found', 'ggggg']]"
funky,4,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbbyg'], [3, 'pinky', 'bbggg'], [4, 'funky', 'ggggg']]"
speak,3,"[[1, 'slate', 'gbyby'], [2, 'spear', 'ggggb'], [3, 'speak', 'ggggg']]"
fixer,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'gbbgg'], [3, 'finer', 'ggbgg'], [4, 'fiber', 'ggbgg'], [5, 'fixer', 'ggggg']]"
dusty,3,"[[1, 'slate', 'ybbgb'], [2, 'gusty', 'bgggg'], [3, 'dusty', 'ggggg']]"
batch,6,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'ygbbb'], [3, 'patch', 'bgggg'], [4, 'hatch', 'bgggg'], [5, 'catch', 'bgggg'], [6, 'batch', 'ggggg']]"
doing,4,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bbygb'], [3, 'pound', 'bgbgy'], [4, 'doing', 'ggggg']]"
image,4,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'ybgbg'], [3, 'adage', 'bbggg'], [4, 'image', 'ggggg']]"
ovary,4,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bygbb'], [3, 'board', 'byggb'], [4, 'ovary', 'ggggg']]"
repel,3,"[[1, 'slate', 'bybby'], [2, 'level', 'bgbgg'], [3, 'repel', 'ggggg']]"
wheel,4,"[[1, 'slate', 'bybby'], [2, 'level', 'bybgg'], [3, 'bowel', 'bbygg'], [4, 'wheel', 'ggggg']]"
rebel,4,"[[1, 'slate', 'bybby'], [2, 'level', 'bgbgg'], [3, 'repel', 'ggbgg'], [4, 'rebel', 'ggggg']]"
guard,5,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bygbb'], [3, 'board', 'bbggg'], [4, 'award', 'bbggg'], [5, 'guard', 'ggggg']]"
graph,5,"[[1, 'slate', 'bbgbb'], [2, 'crack', 'bggbb'], [3, 'brain', 'bggbb'], [4, 'gravy', 'gggbb'], [5, 'graph', 'ggggg']]"
elder,2,"[[1, 'slate', 'bgbby'], [2, 'elder', 'ggggg']]"
cabal,3,"[[1, 'slate', 'byybb'], [2, 'canal', 'ggbgg'], [3, 'cabal', 'ggggg']]"
ebony,4,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bybbb'], [3, 'enemy', 'gybbg'], [4, 'ebony', 'ggggg']]"
linen,3,"[[1, 'slate', 'bybby'], [2, 'level', 'gbbgb'], [3, 'linen', 'ggggg']]"
pouch,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'ybybb'], [3, 'pouch', 'ggggg']]"
taffy,6,"[[1, 'slate', 'bbyyb'], [2, 'taunt', 'ggbbb'], [3, 'tabby', 'ggbbg'], [4, 'tardy', 'ggbbg'], [5, 'tacky', 'ggbbg'], [6, 'taffy', 'ggggg']]"
basal,2,"[[1, 'slate', 'yyybb'], [2, 'basal', 'ggggg']]"
jetty,3,"[[1, 'slate', 'bbbgy'], [2, 'petty', 'bgggg'], [3, 'jetty', 'ggggg']]"
musty,4,"[[1, 'slate', 'ybbgb'], [2, 'gusty', 'bgggg'], [3, 'dusty', 'bgggg'], [4, 'musty', 'ggggg']]"
prong,3,"[[1, 'slate', 'bbbbb'], [2, 'crony', 'bgggb'], [3, 'prong', 'ggggg']]"
